,Unnamed: 0,Last_updated,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Published by,Audience,Recall type,Identification number
3775,0,2018-04-27,NEWMAR,Motorhome recalled by NEWMAR,Vehicle - Lights And Instruments,9,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018189
3776,0,2018-04-30,E-ONE,Truck - Med. & H.D. recalled by EMERGENCY ONE,Vehicle - Electrical,60,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018043
3777,0,2018-04-30,E-ONE,Truck - Med. & H.D. recalled by EMERGENCY ONE,Vehicle - Engine,5,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018044
3778,0,2018-04-30,POLARIS,A.T.V. recalled by POLARIS,Vehicle - Seats And Restraints,8,Automotive recall,Vehicles - A.T.V.,Transport Canada,General public,automotive recall,2018193
3779,0,2018-04-30,THOMAS BUILT,School Bus recalled by DAIMLER TRUCK NORTH AMERICA,Vehicle - Seats And Restraints,20,Automotive recall,Vehicles - School Bus,Transport Canada,General public,automotive recall,2018200
3780,0,2018-04-30,HYUNDAI,Car recalled by HYUNDAI,Vehicle - Electrical,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018203
3781,0,2018-04-30,WINNEBAGO,Motorhome recalled by WINNEBAGO INDUSTRIES,Vehicle - Structure,2,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018204
3782,0,2018-04-30,DUCATI,Motorcycle recalled by DUCATI,Vehicle - Fuel Supply,3,Automotive recall,Vehicles - Motorcycle,Transport Canada,General public,automotive recall,2018207
3783,0,2018-04-30,DUCATI,Motorcycle recalled by DUCATI,Vehicle - Fuel Supply,3,Automotive recall,Vehicles - Motorcycle,Transport Canada,General public,automotive recall,2018208
3784,0,2018-04-30,KENWORTH,Truck - Med. & H.D. recalled by PACCAR,Vehicle - Suspension,30,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2017432
3785,0,2018-04-30,KENWORTH,Truck - Med. & H.D. recalled by PACCAR,Vehicle - Steering,25,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2017461
3786,0,2018-04-30,HYUNDAI,Car recalled by HYUNDAI,Vehicle - Powertrain,3,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018135
3787,0,2018-04-30,KENWORTH,Truck - Med. & H.D. recalled by PACCAR,Vehicle - Powertrain,4,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2017664
3788,0,2018-05-01,MCI,Motorhome recalled by MOTOR COACH INDUSTRIES,Vehicle - Lights And Instruments,1,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018170
3789,0,2018-05-02,RAM,Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Steering,1,Automotive recall,Vehicles - Light Truck & Van,Transport Canada,General public,automotive recall,2018115
3790,0,2018-05-02,CHEVROLET,Car recalled by GENERAL MOTORS,Vehicle - Visual System,2,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018158
3791,0,2018-05-03,E-ONE,Truck - Med. & H.D. recalled by EMERGENCY ONE,Vehicle - Wheels,18,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018206
3792,0,2018-05-03,JEEP,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Fuel Supply,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018220
3793,0,2018-05-03,CHRYSLER,Car recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Powertrain,5,Automotive recall,Vehicles - Car,Vehicles - SUV,Transport Canada,automotive recall,2018223
3794,0,2018-05-03,GRACO,Child Car Seat recalled by EI BRAND MANAGEMENT,Vehicle - Structure,2,Automotive recall,Vehicles - Child Car Seat,Transport Canada,General public,automotive recall,2015625
3795,0,2018-05-04,LAKOTA,Heavy Trailer recalled by LAKOTA,Vehicle - Structure,6,Automotive recall,Vehicles - Heavy Trailer,Transport Canada,General public,automotive recall,2018214
3796,0,2018-05-04,LEXUS,Car recalled by TOYOTA,Vehicle - Brakes,5,Automotive recall,Vehicles - Car,Vehicles - Light Truck & Van,Vehicles - Minivan,automotive recall,2018155
3797,0,2018-05-09,THOR MOTOR COACH,Motorhome recalled by THOR MOTOR COACH,Vehicle - Steering,14,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018228
3798,0,2018-05-09,ENTEGRA COACH,Motorhome recalled by ENTEGRA COACH,Vehicle - Steering,4,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018239
3799,0,2018-05-09,BUICK,Car recalled by GENERAL MOTORS,Vehicle - Seats And Restraints,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018177
3800,0,2018-05-11,HONDA,SUV recalled by HONDA,Vehicle - Airbag,2,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2017326
3801,0,2018-05-11,HONDA,Minivan recalled by HONDA,Vehicle - Seats And Restraints,2,Automotive recall,Vehicles - Minivan,Transport Canada,General public,automotive recall,2018128
3802,0,2018-05-11,HONDA,A.T.V. recalled by HONDA,Vehicle - Seats And Restraints,1,Automotive recall,Vehicles - A.T.V.,Transport Canada,General public,automotive recall,2017201
3803,0,2018-05-11,HONDA,Light Truck & Van recalled by HONDA,Vehicle - Seats And Restraints,1,Automotive recall,Vehicles - Light Truck & Van,Transport Canada,General public,automotive recall,2017317
3804,0,2018-05-11,HONDA,SUV recalled by HONDA,Vehicle - Fuel Supply,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2017347
3805,0,2018-05-11,HONDA,Car recalled by HONDA,Vehicle - Powertrain,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2017552
3806,0,2018-05-14,RAM,Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Accessories,12,Automotive recall,Vehicles - Light Truck & Van,Transport Canada,General public,automotive recall,2018230
3807,0,2018-05-14,IC BUS,Bus recalled by NAVISTAR,Vehicle - Seats And Restraints,17,Automotive recall,Vehicles - Bus,Vehicles - Truck - Med. & H.D.,Transport Canada,automotive recall,2018232
3808,0,2018-05-14,CHEVROLET,Light Truck & Van recalled by GENERAL MOTORS,Vehicle - Seats And Restraints,6,Automotive recall,Vehicles - Light Truck & Van,Vehicles - SUV,Transport Canada,automotive recall,2018233
3809,0,2018-05-14,CHEVROLET,Light Truck & Van recalled by GENERAL MOTORS,Vehicle - Electrical,6,Automotive recall,Vehicles - Light Truck & Van,Transport Canada,General public,automotive recall,2018234
3810,0,2018-05-14,FOREST RIVER,RV Trailer recalled by FOREST RIVER,Vehicle - Accessories,1,Automotive recall,Vehicles - RV Trailer,Transport Canada,General public,automotive recall,2018235
3811,0,2018-05-17,RAM,Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Powertrain,39,Automotive recall,Vehicles - Light Truck & Van,Transport Canada,General public,automotive recall,2017659
3812,0,2018-05-17,CRESTLINE,Bus recalled by CRESTLINE,Vehicle - Electrical,21,Automotive recall,Vehicles - Bus,Vehicles - Light Truck & Van,Vehicles - Truck - Med. & H.D.,automotive recall,2017551
3813,0,2018-05-17,FREIGHTLINER,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Vehicle - Brakes,55,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2017583
3814,0,2018-05-17,RAM,Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Powertrain,10,Automotive recall,Vehicles - Light Truck & Van,Vehicles - Truck - Med. & H.D.,Transport Canada,automotive recall,2018081
3815,0,2018-05-22,BLUE BIRD,School Bus recalled by BLUE BIRD,Vehicle - Powertrain,2,Automotive recall,Vehicles - School Bus,Transport Canada,General public,automotive recall,2018213
3816,0,2018-05-23,TOYOTA,Car recalled by TOYOTA,Vehicle - Engine,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018148
3817,0,2018-05-29,BMW,Car recalled by BMW,Vehicle - Fuel Supply,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018264
3818,0,2018-05-29,WINNEBAGO,Motorhome recalled by WINNEBAGO INDUSTRIES,Vehicle - Accessories,2,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018259
3819,0,2018-05-29,KENWORTH,Truck - Med. & H.D. recalled by PACCAR,Vehicle - Structure,1,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018255
3820,0,2018-05-29,CHEVROLET,Car recalled by GENERAL MOTORS,Vehicle - Fuel Supply,3,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018251
3821,0,2018-05-29,NEWMAR,Motorhome recalled by NEWMAR,Vehicle - Structure,2,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018253
3822,0,2018-05-29,LOOK TRAILERS,Light Trailer recalled by LGS INDUSTRIES,Vehicle - Structure,2,Automotive recall,Vehicles - Light Trailer,Transport Canada,General public,automotive recall,2018252
3823,0,2018-05-30,VOLKSWAGEN,SUV recalled by VOLKSWAGEN,Vehicle - Suspension,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018205
3824,0,2018-06-01,DODGE,Car recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Powertrain,4,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018219
3825,0,2018-06-01,RAM,Chassis Cab recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Brakes,2,Automotive recall,Vehicles - Chassis Cab,Transport Canada,General public,automotive recall,2018221
3826,0,2018-06-01,JEEP,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Suspension,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018222
3827,0,2018-06-01,VOLKSWAGEN,SUV recalled by VOLKSWAGEN,Vehicle - Fuel Supply,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018227
3828,0,2018-06-01,AMERICAN COACH,Motorhome recalled by REV RECREATION GROUP,Vehicle - Steering,9,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018236
3829,0,2018-06-01,BMW,Car recalled by BMW,Vehicle - Electrical,2,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018260
3830,0,2018-06-01,COACHMEN,RV Trailer recalled by FOREST RIVER,Vehicle - Label,1,Automotive recall,Vehicles - RV Trailer,Transport Canada,General public,automotive recall,2018273
3831,0,2018-06-01,DODGE,Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Fuel Supply,6,Automotive recall,Vehicles - Light Truck & Van,Transport Canada,General public,automotive recall,2018122
3832,0,2018-06-01,AUTOCAR,Truck - Med. & H.D. recalled by AUTOCAR,Vehicle - Steering,2,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2018175
3833,0,2018-06-04,JEEP,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Engine,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018282
3834,0,2018-06-04,JEEP,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Steering,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018281
3835,0,2018-06-04,CHEVROLET,Car recalled by GENERAL MOTORS,Vehicle - Seats And Restraints,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018278
3836,0,2018-06-05,VOLKSWAGEN,Car recalled by VOLKSWAGEN,Vehicle - Lights And Instruments,3,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2016433
3837,0,2018-06-05,KIA,Minivan recalled by KIA,Vehicle - Structure,5,Automotive recall,Vehicles - Minivan,Transport Canada,General public,automotive recall,2018290
3838,0,2018-06-05,FORD,SUV recalled by BEARING TECHNOLOGIES INC.,Vehicle - Other,8,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018248
3839,0,2018-06-06,CHEVROLET,Car recalled by GENERAL MOTORS,Vehicle - Airbag,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018288
3840,0,2018-06-06,ARGO,A.T.V. recalled by ARGO XTV,Vehicle - Engine,2,Automotive recall,Vehicles - A.T.V.,Transport Canada,General public,automotive recall,2018293
3841,0,2018-06-08,LEXUS,Car recalled by TOYOTA,Vehicle - Airbag,7,Automotive recall,Vehicles - Car,Vehicles - SUV,Transport Canada,automotive recall,2018061
3842,0,2018-06-08,MASERATI,Car recalled by MASERATI,Vehicle - Structure,3,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018294
3843,0,2018-06-08,DUCATI,Motorcycle recalled by DUCATI,Vehicle - Fuel Supply,2,Automotive recall,Vehicles - Motorcycle,Transport Canada,General public,automotive recall,2018295
3844,0,2018-06-08,VOLKSWAGEN,SUV recalled by VOLKSWAGEN,Vehicle - Airbag,2,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018296
3845,0,2018-06-08,BMW,SUV recalled by BMW,Vehicle - Steering,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018297
3846,0,2018-06-11,KIA,Car recalled by KIA,Vehicle - Electrical,16,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2013324
3847,0,2018-06-11,KIA,Car recalled by KIA,Vehicle - Brakes,6,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2017626
3848,0,2018-06-12,KIA,SUV recalled by KIA,Vehicle - Engine,1,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018218
